! にじさんじ
! --------------------------------------------------------------------------------
ゆきえ	🌈🇨🇳 雪絵(Yukie)
るき	🌈🇨🇳 琉绮(Ruki)
ろい	🌈🇨🇳 罗伊(Roi)
わくひめ	🌈🇨🇳 惑姫(Waku)

! 元 VirtuaReal Project
! --------------------------------------------------------------------------------
はのん	🌈🇨🇳😥 羽音(Hanon)
ぱっくす	🌈🇨🇳😥 帕克丝(Pax)
みもい	🌈🇨🇳😥 御水(Mimoi)

! NIJISANJI EN
! --------------------------------------------------------------------------------
あでぃあ	🌈🇮🇳 Aadya(アディア)
ぬーる	🌈🇮🇳 Noor(ヌール)
びはん	🌈🇮🇳 Vihaan(ビハン)

! ユメノグラフィア
! --------------------------------------------------------------------------------
あおみかやな	💭蒼海カヤナ
あさぎりいづる	💭朝霧いづる
いちのもりこひな	💭苺ノ森こひな
かたくらひとみ	💭片倉一実
くれまはくぼ	💭暮間珀暮
くれやぺい	💭紅夜ぺい
こはなてくと	💭小花てくと
ころぼしまう	💭ころぼしまう
しのみやとうか	💭四ノ宮透華
はえとりかづら	💭蝿取かづら
はとおかここ	💭鳩岡小恋
ひじりぐれいる	💭聖グレイル
ひめるち	💭雛芽るち
ふでそめしき	💭筆染四季
ほうしょうてあ	💭宝生てあ
みかげみゆ	💭観影みゆ
みさごゆきまち	💭雎雪待
みなみあやね	💭南絢音
みーてぃあ	💭ミーティア
りいか	💭りいか
りくどうかろ	💭六道カロ
ろっどくろうりー	💭ロッド・クロウリー

! にじさんじ・コラボ等
! --------------------------------------------------------------------------------
あいおいくろいながおけい	🌈👥あいおいくろいながおけい
あいすぐみ	🌈👥アイス組
あいちーむ	🌈👥Iチーム
あかのそしき	🌈👥赤の組織
あかんご	🌈👥アカンゴ
あかんごちぐ	🌈👥あかんごちぐ
あくまどーじょー	🌈👥あくまどーじょー
あくむぐみ	🌈👥悪夢組
あしたはれるかな	🌈👥明日晴れる花那
あずゆず	🌈👥アズゆず
